Transaction Date,Post Date,Description,Category,Amount,Custom Category,User,Group
2/3/24,2/4/24,SP SOMETHING TO HOLD,Office & Shipping,-108.65,Shopping,Mon,
2/4/24,2/4/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-1.26,Fees,Kevin,
2/3/24,2/4/24,WATSON'S,Health & Wellness,-42.2,Health,Mon,
2/4/24,2/4/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.02,Fees,Kevin,
2/2/24,2/4/24,CURATE KITCHEN,Food & Drink,-0.75,Food,Kevin,
2/4/24,2/4/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.02,Fees,Kevin,
2/3/24,2/4/24,WATSON'S,Health & Wellness,-0.71,Health,Kevin,
2/4/24,2/4/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.19,Fees,Kevin,
2/3/24,2/4/24,TAKASHIMAYA (S) LTD,Food & Drink,-6.59,Food,Both,
2/4/24,2/4/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-6.37,Fees,Kevin,
2/3/24,2/4/24,SJ CLINIC &amp; SURGERY (ORC),Health & Wellness,-212.36,Health,Mon,
2/2/24,2/2/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.63,Fees,Kevin,
2/1/24,2/2/24,FAIRPRICE XTRA-AMK,Food & Drink,-21.23,Groceries,Both,
2/2/24,2/2/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.04,Fees,Kevin,
2/1/24,2/2/24,CURATE KITCHEN,Food & Drink,-1.5,Food,Kevin,
2/1/24,2/1/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.26,Fees,Kevin,
1/31/24,2/1/24,SINGPOST - TOWNER,Office & Shipping,-8.89,Business,Mon,
2/1/24,2/1/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.56,Fees,Kevin,
1/31/24,2/1/24,KOPITIAM@AMKH,Food & Drink,-18.94,Food,Both,
2/1/24,2/1/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-2.21,Fees,Kevin,
1/31/24,2/1/24,ALLY.FAMILY,Office & Shipping,-73.99,Health,Mon,
2/1/24,2/1/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.07,Fees,Kevin,
1/31/24,2/1/24,CURATE KITCHEN,Food & Drink,-2.54,Food,Kevin,
1/31/24,1/31/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-3.36,Fees,Kevin,
1/30/24,1/31/24,Klook* Flickket,Travel,-112.02,Travel,Aunty,
1/31/24,1/31/24,SP SIXTYPERCENT,Merchandise & Inventory,-150.8,Shopping,Mon,
1/31/24,1/31/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.06,Fees,Kevin,
1/30/24,1/31/24,CURATE KITCHEN,Food & Drink,-2.32,Food,Kevin,
1/30/24,1/30/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.71,Fees,Kevin,
1/29/24,1/30/24,FAIRPRICE XTRA-AMK,Food & Drink,-23.94,Groceries,Both,
1/30/24,1/30/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.12,Fees,Kevin,
1/28/24,1/30/24,CHATERAISE,Food & Drink,-4.11,Food,Both,
1/30/24,1/30/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.04,Fees,Kevin,
1/29/24,1/30/24,CURATE KITCHEN,Food & Drink,-1.49,Food,Kevin,
1/29/24,1/29/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.27,Fees,Kevin,
